~~~~~~~
Total SYN/m: ,966
Average SYN/s in last minute: ,16.10
Total SYN/m: ,1099
Average SYN/s in last minute: ,18.32
Total SYN/m: ,925
Average SYN/s in last minute: ,15.42
Total SYN/m: ,1006
Average SYN/s in last minute: ,16.77
Total SYN/m: ,1121
Average SYN/s in last minute: ,18.68
Total SYN/m: ,1189
Average SYN/s in last minute: ,19.82
Total SYN/m: ,1158
Average SYN/s in last minute: ,19.30
Total SYN/m: ,897
Average SYN/s in last minute: ,14.95
Total SYN/m: ,1027
Average SYN/s in last minute: ,17.12
Total SYN/m: ,995
Average SYN/s in last minute: ,16.58
Total SYN/m: ,1279
Average SYN/s in last minute: ,21.32
Total SYN/m: ,974
Average SYN/s in last minute: ,16.23
Total SYN/m: ,771
Average SYN/s in last minute: ,12.85
Total SYN/m: ,872
Average SYN/s in last minute: ,14.53
Total SYN/m: ,1131
Average SYN/s in last minute: ,18.85
Total SYN/m: ,1038
Average SYN/s in last minute: ,17.30
Total SYN/m: ,1066
Average SYN/s in last minute: ,17.77
Total SYN/m: ,1030
Average SYN/s in last minute: ,17.17
Total SYN/m: ,1236
Average SYN/s in last minute: ,20.60
Total SYN/m: ,1164
Average SYN/s in last minute: ,19.40
Total SYN/m: ,1081
Average SYN/s in last minute: ,18.02
Total SYN/m: ,1091
Average SYN/s in last minute: ,18.18
Total SYN/m: ,1077
Average SYN/s in last minute: ,17.95
Total SYN/m: ,1040
Average SYN/s in last minute: ,17.33
Total SYN/m: ,913
Average SYN/s in last minute: ,15.22
Total SYN/m: ,961
Average SYN/s in last minute: ,16.02
Total SYN/m: ,1017
Average SYN/s in last minute: ,16.95
Total SYN/m: ,1375
Average SYN/s in last minute: ,22.92
Total SYN/m: ,905
Average SYN/s in last minute: ,15.08
Total SYN/m: ,1166
Average SYN/s in last minute: ,19.43
Total SYN/m: ,929
Average SYN/s in last minute: ,15.48
Total SYN/m: ,1182
Average SYN/s in last minute: ,19.70
Total SYN/m: ,1114
Average SYN/s in last minute: ,18.57
Total SYN/m: ,886
Average SYN/s in last minute: ,14.77
Total SYN/m: ,1018
Average SYN/s in last minute: ,16.97
Total SYN/m: ,1247
Average SYN/s in last minute: ,20.78
Total SYN/m: ,948
Average SYN/s in last minute: ,15.80
Total SYN/m: ,1153
Average SYN/s in last minute: ,19.22
Total SYN/m: ,1181
Average SYN/s in last minute: ,19.68
Total SYN/m: ,968
Average SYN/s in last minute: ,16.13
Total SYN/m: ,1226
Average SYN/s in last minute: ,20.43
Total SYN/m: ,948
Average SYN/s in last minute: ,15.80
Total SYN/m: ,1136
Average SYN/s in last minute: ,18.93
Total SYN/m: ,827
Average SYN/s in last minute: ,13.78
Total SYN/m: ,1003
Average SYN/s in last minute: ,16.72
Total SYN/m: ,1097
Average SYN/s in last minute: ,18.28
Total SYN/m: ,1014
Average SYN/s in last minute: ,16.90
Total SYN/m: ,1021
Average SYN/s in last minute: ,17.02
Total SYN/m: ,948
Average SYN/s in last minute: ,15.80
Total SYN/m: ,964
Average SYN/s in last minute: ,16.07
Total SYN/m: ,1067
Average SYN/s in last minute: ,17.78
Total SYN/m: ,929
Average SYN/s in last minute: ,15.48
Total SYN/m: ,1005
Average SYN/s in last minute: ,16.75
Total SYN/m: ,1011
Average SYN/s in last minute: ,16.85
Total SYN/h: ,62642
Average SYN/s in last hour: ,17.40
Average SYN/m in last hour: ,1044.03
Total SYN/m: ,1119
Average SYN/s in last minute: ,18.65
Total SYN/m: ,826
Average SYN/s in last minute: ,13.77
Total SYN/m: ,820
Average SYN/s in last minute: ,13.67
Total SYN/m: ,961
Average SYN/s in last minute: ,16.02
Total SYN/m: ,920
Average SYN/s in last minute: ,15.33
Total SYN/m: ,960
Average SYN/s in last minute: ,16.00
Total SYN/m: ,1172
Average SYN/s in last minute: ,19.53
Total SYN/m: ,1054
Average SYN/s in last minute: ,17.57
Total SYN/m: ,1137
Average SYN/s in last minute: ,18.95
Total SYN/m: ,1045
Average SYN/s in last minute: ,17.42
Total SYN/m: ,1181
Average SYN/s in last minute: ,19.68
Total SYN/m: ,1270
Average SYN/s in last minute: ,21.17
Total SYN/m: ,978
Average SYN/s in last minute: ,16.30
Total SYN/m: ,1082
Average SYN/s in last minute: ,18.03
Total SYN/m: ,1097
Average SYN/s in last minute: ,18.28
Total SYN/m: ,934
Average SYN/s in last minute: ,15.57
Total SYN/m: ,1015
Average SYN/s in last minute: ,16.92
Total SYN/m: ,1038
Average SYN/s in last minute: ,17.30
Total SYN/m: ,1174
Average SYN/s in last minute: ,19.57
Total SYN/m: ,1015
Average SYN/s in last minute: ,16.92
Total SYN/m: ,1067
Average SYN/s in last minute: ,17.78
Total SYN/m: ,914
Average SYN/s in last minute: ,15.23
Total SYN/m: ,1055
Average SYN/s in last minute: ,17.58
Total SYN/m: ,1102
Average SYN/s in last minute: ,18.37
Total SYN/m: ,1120
Average SYN/s in last minute: ,18.67
Total SYN/m: ,904
Average SYN/s in last minute: ,15.07
Total SYN/m: ,1256
Average SYN/s in last minute: ,20.93
Total SYN/m: ,1151
Average SYN/s in last minute: ,19.18
Total SYN/m: ,1150
Average SYN/s in last minute: ,19.17
Total SYN/m: ,787
Average SYN/s in last minute: ,13.12
Total SYN/m: ,1184
Average SYN/s in last minute: ,19.73
Total SYN/m: ,1018
Average SYN/s in last minute: ,16.97
Total SYN/m: ,986
Average SYN/s in last minute: ,16.43
Total SYN/m: ,1130
Average SYN/s in last minute: ,18.83
Total SYN/m: ,952
Average SYN/s in last minute: ,15.87
Total SYN/m: ,955
Average SYN/s in last minute: ,15.92
Total SYN/m: ,1220
Average SYN/s in last minute: ,20.33
Total SYN/m: ,957
Average SYN/s in last minute: ,15.95
Total SYN/m: ,860
Average SYN/s in last minute: ,14.33
Total SYN/m: ,1213
Average SYN/s in last minute: ,20.22
Total SYN/m: ,1099
Average SYN/s in last minute: ,18.32
Total SYN/m: ,1018
Average SYN/s in last minute: ,16.97
Total SYN/m: ,1159
Average SYN/s in last minute: ,19.32
Total SYN/m: ,1070
Average SYN/s in last minute: ,17.83
Total SYN/m: ,1002
Average SYN/s in last minute: ,16.70
Total SYN/m: ,965
Average SYN/s in last minute: ,16.08
Total SYN/m: ,904
Average SYN/s in last minute: ,15.07
Total SYN/m: ,942
Average SYN/s in last minute: ,15.70
Total SYN/m: ,948
Average SYN/s in last minute: ,15.80
Total SYN/m: ,829
Average SYN/s in last minute: ,13.82
Total SYN/m: ,975
Average SYN/s in last minute: ,16.25
Total SYN/m: ,1080
Average SYN/s in last minute: ,18.00
Total SYN/m: ,1067
Average SYN/s in last minute: ,17.78
Total SYN/m: ,990
Average SYN/s in last minute: ,16.50
Total SYN/m: ,1091
Average SYN/s in last minute: ,18.18
Total SYN/m: ,1090
Average SYN/s in last minute: ,18.17
Total SYN/m: ,1071
Average SYN/s in last minute: ,17.85
Total SYN/m: ,1153
Average SYN/s in last minute: ,19.22
Total SYN/m: ,1005
Average SYN/s in last minute: ,16.75
Total SYN/m: ,1189
Average SYN/s in last minute: ,19.82
Total SYN/h: ,62426
Average SYN/s in last hour: ,17.34
Average SYN/m in last hour: ,1040.43
Total SYN/m: ,939
Average SYN/s in last minute: ,15.65
Total SYN/m: ,689
Average SYN/s in last minute: ,11.48
Total SYN/m: ,1017
Average SYN/s in last minute: ,16.95
Total SYN/m: ,1134
Average SYN/s in last minute: ,18.90
Total SYN/m: ,1048
Average SYN/s in last minute: ,17.47
Total SYN/m: ,905
Average SYN/s in last minute: ,15.08
Total SYN/m: ,889
Average SYN/s in last minute: ,14.82
Total SYN/m: ,1010
Average SYN/s in last minute: ,16.83
Total SYN/m: ,949
Average SYN/s in last minute: ,15.82
Total SYN/m: ,907
Average SYN/s in last minute: ,15.12
Total SYN/m: ,844
Average SYN/s in last minute: ,14.07
Total SYN/m: ,979
Average SYN/s in last minute: ,16.32
Total SYN/m: ,1036
Average SYN/s in last minute: ,17.27
Total SYN/m: ,979
Average SYN/s in last minute: ,16.32
Total SYN/m: ,1036
Average SYN/s in last minute: ,17.27
Total SYN/m: ,934
Average SYN/s in last minute: ,15.57
Total SYN/m: ,1053
Average SYN/s in last minute: ,17.55
Total SYN/m: ,817
Average SYN/s in last minute: ,13.62
Total SYN/m: ,1080
Average SYN/s in last minute: ,18.00
Total SYN/m: ,876
Average SYN/s in last minute: ,14.60
Total SYN/m: ,981
Average SYN/s in last minute: ,16.35
Total SYN/m: ,807
Average SYN/s in last minute: ,13.45
Total SYN/m: ,864
Average SYN/s in last minute: ,14.40
Total SYN/m: ,936
Average SYN/s in last minute: ,15.60
Total SYN/m: ,855
Average SYN/s in last minute: ,14.25
Total SYN/m: ,956
Average SYN/s in last minute: ,15.93
Total SYN/m: ,1073
Average SYN/s in last minute: ,17.88
Total SYN/m: ,1102
Average SYN/s in last minute: ,18.37
Total SYN/m: ,1137
Average SYN/s in last minute: ,18.95
Total SYN/m: ,982
Average SYN/s in last minute: ,16.37
Total SYN/m: ,789
Average SYN/s in last minute: ,13.15
Total SYN/m: ,903
Average SYN/s in last minute: ,15.05
Total SYN/m: ,1035
Average SYN/s in last minute: ,17.25
Total SYN/m: ,901
Average SYN/s in last minute: ,15.02
Total SYN/m: ,1147
Average SYN/s in last minute: ,19.12
Total SYN/m: ,937
Average SYN/s in last minute: ,15.62
Total SYN/m: ,959
Average SYN/s in last minute: ,15.98
Total SYN/m: ,1023
Average SYN/s in last minute: ,17.05
Total SYN/m: ,886
Average SYN/s in last minute: ,14.77
Total SYN/m: ,1178
Average SYN/s in last minute: ,19.63
Total SYN/m: ,871
Average SYN/s in last minute: ,14.52
Total SYN/m: ,982
Average SYN/s in last minute: ,16.37
Total SYN/m: ,1210
Average SYN/s in last minute: ,20.17
Total SYN/m: ,1266
Average SYN/s in last minute: ,21.10
Total SYN/m: ,993
Average SYN/s in last minute: ,16.55
Total SYN/m: ,871
Average SYN/s in last minute: ,14.52
Total SYN/m: ,1041
Average SYN/s in last minute: ,17.35
Total SYN/m: ,935
Average SYN/s in last minute: ,15.58
Total SYN/m: ,809
Average SYN/s in last minute: ,13.48
Total SYN/m: ,928
Average SYN/s in last minute: ,15.47
Total SYN/m: ,776
Average SYN/s in last minute: ,12.93
Total SYN/m: ,935
Average SYN/s in last minute: ,15.58
Total SYN/m: ,941
Average SYN/s in last minute: ,15.68
Total SYN/m: ,1135
Average SYN/s in last minute: ,18.92
Total SYN/m: ,973
Average SYN/s in last minute: ,16.22
Total SYN/m: ,841
Average SYN/s in last minute: ,14.02
Total SYN/m: ,1146
Average SYN/s in last minute: ,19.10
Total SYN/m: ,978
Average SYN/s in last minute: ,16.30
Total SYN/m: ,906
Average SYN/s in last minute: ,15.10
Total SYN/m: ,1198
Average SYN/s in last minute: ,19.97
Total SYN/h: ,58307
Average SYN/s in last hour: ,16.20
Average SYN/m in last hour: ,971.78
Total SYN/m: ,1059
Average SYN/s in last minute: ,17.65
Total SYN/m: ,1002
Average SYN/s in last minute: ,16.70
Total SYN/m: ,821
Average SYN/s in last minute: ,13.68
Total SYN/m: ,864
Average SYN/s in last minute: ,14.40
Total SYN/m: ,893
Average SYN/s in last minute: ,14.88
Total SYN/m: ,922
Average SYN/s in last minute: ,15.37
Total SYN/m: ,1063
Average SYN/s in last minute: ,17.72
Total SYN/m: ,1109
Average SYN/s in last minute: ,18.48
Total SYN/m: ,1232
Average SYN/s in last minute: ,20.53
Total SYN/m: ,1038
Average SYN/s in last minute: ,17.30
Total SYN/m: ,1195
Average SYN/s in last minute: ,19.92
Total SYN/m: ,1194
Average SYN/s in last minute: ,19.90
Total SYN/m: ,1059
Average SYN/s in last minute: ,17.65
Total SYN/m: ,942
Average SYN/s in last minute: ,15.70
Total SYN/m: ,1070
Average SYN/s in last minute: ,17.83
Total SYN/m: ,928
Average SYN/s in last minute: ,15.47
Total SYN/m: ,887
Average SYN/s in last minute: ,14.78
Total SYN/m: ,1003
Average SYN/s in last minute: ,16.72
Total SYN/m: ,1063
Average SYN/s in last minute: ,17.72
Total SYN/m: ,1088
Average SYN/s in last minute: ,18.13
Total SYN/m: ,1038
Average SYN/s in last minute: ,17.30
Total SYN/m: ,1245
Average SYN/s in last minute: ,20.75
Total SYN/m: ,1100
Average SYN/s in last minute: ,18.33
Total SYN/m: ,1121
Average SYN/s in last minute: ,18.68
Total SYN/m: ,982
Average SYN/s in last minute: ,16.37
Total SYN/m: ,1069
Average SYN/s in last minute: ,17.82
Total SYN/m: ,1212
Average SYN/s in last minute: ,20.20
Total SYN/m: ,953
Average SYN/s in last minute: ,15.88
Total SYN/m: ,984
Average SYN/s in last minute: ,16.40
Total SYN/m: ,1144
Average SYN/s in last minute: ,19.07
Total SYN/m: ,1042
Average SYN/s in last minute: ,17.37
Total SYN/m: ,1284
Average SYN/s in last minute: ,21.40
Total SYN/m: ,970
